network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
2001:420:c0c8::/45,6252001,6252001,,0,0
2001:420:c0d0::/46,2077456,6252001,,0,0
2001:420:c0d4::/46,1880251,6252001,,0,0
2001:420:c0d8::/46,1819730,6252001,,0,0
2001:420:c0dc::/46,1861060,6252001,,0,0
2001:420:c0e0::/46,1269750,6252001,,0,0
2001:420:c0e4::/46,6252001,6252001,,0,0
2001:420:c0e8::/45,1269750,6252001,,0,0
2001:420:c0f0::/44,1269750,6252001,,0,0
2001:420:c100::/40,6252001,6252001,,0,0
2001:420:c200::/39,6252001,6252001,,0,0
2001:420:c400::/38,6252001,6252001,,0,0
2001:420:c800::/37,6252001,6252001,,0,0
2001:420:d000::/36,6252001,6252001,,0,0
2001:420:e000::/35,6252001,6252001,,0,0
2001:428::/32,6252001,6252001,,0,0
2001:430::/32,6252001,6252001,,0,0
2001:438::/32,6252001,6252001,,0,0
2001:440::/32,6252001,6252001,,0,0
2001:448::/32,3996063,3996063,,0,0
2001:450::/44,6252001,6252001,,0,0
2001:450:10::/45,6252001,6252001,,0,0
2001:450:18::/46,6252001,6252001,,0,0
2001:450:1c::/48,6251999,6252001,,0,0
2001:450:1d::/48,2635167,6252001,,0,0
2001:450:1e::/48,3017382,6252001,,0,0
2001:450:1f::/48,6251999,6252001,,0,0
2001:450:20::/43,6252001,6252001,,0,0
2001:450:40::/42,6252001,6252001,,0,0
2001:450:80::/41,6252001,6252001,,0,0
2001:450:100::/40,6252001,6252001,,0,0
2001:450:200::/39,6252001,6252001,,0,0
2001:450:400::/38,6252001,6252001,,0,0
2001:450:800::/37,6252001,6252001,,0,0
2001:450:1000::/36,6252001,6252001,,0,0
2001:450:2000::/35,6252001,6252001,,0,0
2001:450:4000::/34,6252001,6252001,,0,0
2001:450:8000::/33,6252001,6252001,,0,0
2001:458::/32,6252001,6252001,,0,0
2001:460::/32,6252001,6252001,,0,0
2001:468::/32,6252001,6252001,,0,0
2001:470::/55,6252001,6252001,,0,0
2001:470:0:200::/57,6252001,6252001,,0,0
2001:470:0:280::/62,6252001,6252001,,0,0
2001:470:0:284::/128,6252001,6252001,,0,0
2001:470:0:284::1/128,2782113,6252001,,0,0
2001:470:0:284::2/127,6252001,6252001,,0,0
2001:470:0:284::4/126,6252001,6252001,,0,0
2001:470:0:284::8/125,6252001,6252001,,0,0
2001:470:0:284::10/124,6252001,6252001,,0,0
2001:470:0:284::20/123,6252001,6252001,,0,0
2001:470:0:284::40/122,6252001,6252001,,0,0
2001:470:0:284::80/121,6252001,6252001,,0,0
2001:470:0:284::100/120,6252001,6252001,,0,0
2001:470:0:284::200/119,6252001,6252001,,0,0
2001:470:0:284::400/118,6252001,6252001,,0,0
2001:470:0:284::800/117,6252001,6252001,,0,0
2001:470:0:284::1000/116,6252001,6252001,,0,0
2001:470:0:284::2000/115,6252001,6252001,,0,0
2001:470:0:284::4000/114,6252001,6252001,,0,0
2001:470:0:284::8000/113,6252001,6252001,,0,0
2001:470:0:284::1:0/112,6252001,6252001,,0,0
2001:470:0:284::2:0/111,6252001,6252001,,0,0
2001:470:0:284::4:0/110,6252001,6252001,,0,0
2001:470:0:284::8:0/109,6252001,6252001,,0,0
2001:470:0:284::10:0/108,6252001,6252001,,0,0
2001:470:0:284::20:0/107,6252001,6252001,,0,0
2001:470:0:284::40:0/106,6252001,6252001,,0,0
2001:470:0:284::80:0/105,6252001,6252001,,0,0
2001:470:0:284::100:0/104,6252001,6252001,,0,0
2001:470:0:284::200:0/103,6252001,6252001,,0,0
2001:470:0:284::400:0/102,6252001,6252001,,0,0
2001:470:0:284::800:0/101,6252001,6252001,,0,0
2001:470:0:284::1000:0/100,6252001,6252001,,0,0
2001:470:0:284::2000:0/99,6252001,6252001,,0,0
2001:470:0:284::4000:0/98,6252001,6252001,,0,0
2001:470:0:284::8000:0/97,6252001,6252001,,0,0
2001:470:0:284:0:1::/96,6252001,6252001,,0,0
2001:470:0:284:0:2::/95,6252001,6252001,,0,0
2001:470:0:284:0:4::/94,6252001,6252001,,0,0
2001:470:0:284:0:8::/93,6252001,6252001,,0,0
2001:470:0:284:0:10::/92,6252001,6252001,,0,0
2001:470:0:284:0:20::/91,6252001,6252001,,0,0
2001:470:0:284:0:40::/90,6252001,6252001,,0,0
2001:470:0:284:0:80::/89,6252001,6252001,,0,0
2001:470:0:284:0:100::/88,6252001,6252001,,0,0
2001:470:0:284:0:200::/87,6252001,6252001,,0,0
2001:470:0:284:0:400::/86,6252001,6252001,,0,0
2001:470:0:284:0:800::/85,6252001,6252001,,0,0
2001:470:0:284:0:1000::/84,6252001,6252001,,0,0
2001:470:0:284:0:2000::/83,6252001,6252001,,0,0
2001:470:0:284:0:4000::/82,6252001,6252001,,0,0
2001:470:0:284:0:8000::/81,6252001,6252001,,0,0
2001:470:0:284:1::/80,6252001,6252001,,0,0
2001:470:0:284:2::/79,6252001,6252001,,0,0
2001:470:0:284:4::/78,6252001,6252001,,0,0
2001:470:0:284:8::/77,6252001,6252001,,0,0
2001:470:0:284:10::/76,6252001,6252001,,0,0
2001:470:0:284:20::/75,6252001,6252001,,0,0
2001:470:0:284:40::/74,6252001,6252001,,0,0
2001:470:0:284:80::/73,6252001,6252001,,0,0
2001:470:0:284:100::/72,6252001,6252001,,0,0
2001:470:0:284:200::/71,6252001,6252001,,0,0
2001:470:0:284:400::/70,6252001,6252001,,0,0
2001:470:0:284:800::/69,6252001,6252001,,0,0
2001:470:0:284:1000::/68,6252001,6252001,,0,0
2001:470:0:284:2000::/67,6252001,6252001,,0,0
2001:470:0:284:4000::/66,6252001,6252001,,0,0
2001:470:0:284:8000::/65,6252001,6252001,,0,0
2001:470:0:285::/64,6252001,6252001,,0,0
2001:470:0:286::/63,6252001,6252001,,0,0
2001:470:0:288::/61,6252001,6252001,,0,0
2001:470:0:290::/60,6252001,6252001,,0,0
2001:470:0:2a0::/59,6252001,6252001,,0,0
2001:470:0:2c0::/58,6252001,6252001,,0,0
2001:470:0:300::/56,6252001,6252001,,0,0
2001:470:0:400::/54,6252001,6252001,,0,0
2001:470:0:800::/53,6252001,6252001,,0,0
2001:470:0:1000::/52,6252001,6252001,,0,0
2001:470:0:2000::/51,6252001,6252001,,0,0
2001:470:0:4000::/50,6252001,6252001,,0,0
2001:470:0:8000::/49,6252001,6252001,,0,0
2001:470:1::/55,6252001,6252001,,0,0
2001:470:1:200::/59,6252001,6252001,,0,0
2001:470:1:220::/60,6252001,6252001,,0,0
2001:470:1:230::/62,6252001,6252001,,0,0
2001:470:1:234::/64,6252001,6252001,,0,0
2001:470:1:235::/64,2963597,6252001,,0,0
2001:470:1:236::/63,6252001,6252001,,0,0
2001:470:1:238::/61,6252001,6252001,,0,0
2001:470:1:240::/58,6252001,6252001,,0,0
2001:470:1:280::/57,6252001,6252001,,0,0
2001:470:1:300::/56,6252001,6252001,,0,0
2001:470:1:400::/54,6252001,6252001,,0,0
2001:470:1:800::/56,6252001,6252001,,0,0
2001:470:1:900::/57,6252001,6252001,,0,0
2001:470:1:980::/59,6252001,6252001,,0,0
2001:470:1:9a0::/63,6252001,6252001,,0,0
2001:470:1:9a2::/64,2510769,6252001,,0,0
2001:470:1:9a3::/64,6252001,6252001,,0,0
2001:470:1:9a4::/64,6252001,6252001,,0,0
2001:470:1:9a5::/64,2963597,6252001,,0,0
2001:470:1:9a6::/63,6252001,6252001,,0,0
2001:470:1:9a8::/61,6252001,6252001,,0,0
2001:470:1:9b0::/60,6252001,6252001,,0,0
2001:470:1:9c0::/58,6252001,6252001,,0,0
2001:470:1:a00::/55,6252001,6252001,,0,0
2001:470:1:c00::/54,6252001,6252001,,0,0
2001:470:1:1000::/52,6252001,6252001,,0,0
2001:470:1:2000::/51,6252001,6252001,,0,0
2001:470:1:4000::/50,6252001,6252001,,0,0
2001:470:1:8000::/49,6252001,6252001,,0,0
2001:470:2::/47,6252001,6252001,,0,0
2001:470:4::/48,6252001,6252001,,0,0
2001:470:5::/55,6252001,6252001,,0,0
2001:470:5:200::/56,6252001,6252001,,0,0
2001:470:5:300::/60,6252001,6252001,,0,0
2001:470:5:310::/61,6252001,6252001,,0,0
2001:470:5:318::/64,3865483,6252001,,0,0
2001:470:5:319::/64,6252001,6252001,,0,0
2001:470:5:31a::/63,6252001,6252001,,0,0
2001:470:5:31c::/62,6252001,6252001,,0,0
2001:470:5:320::/59,6252001,6252001,,0,0
2001:470:5:340::/58,6252001,6252001,,0,0
2001:470:5:380::/57,6252001,6252001,,0,0
2001:470:5:400::/54,6252001,6252001,,0,0
2001:470:5:800::/53,6252001,6252001,,0,0
2001:470:5:1000::/52,6252001,6252001,,0,0
2001:470:5:2000::/51,6252001,6252001,,0,0
2001:470:5:4000::/50,6252001,6252001,,0,0
2001:470:5:8000::/49,6252001,6252001,,0,0
2001:470:6::/47,6252001,6252001,,0,0
2001:470:8::/47,6252001,6252001,,0,0
2001:470:a::/48,6252001,6252001,,0,0
2001:470:b::/53,6252001,6252001,,0,0
2001:470:b:800::/56,6252001,6252001,,0,0
2001:470:b:900::/59,6252001,6252001,,0,0
2001:470:b:920::/61,6252001,6252001,,0,0
2001:470:b:928::/64,6252001,6252001,,0,0
2001:470:b:929::/64,6251999,6252001,,0,0
2001:470:b:92a::/63,6252001,6252001,,0,0
2001:470:b:92c::/62,6252001,6252001,,0,0
2001:470:b:930::/60,6252001,6252001,,0,0
2001:470:b:940::/58,6252001,6252001,,0,0
2001:470:b:980::/57,6252001,6252001,,0,0
2001:470:b:a00::/55,6252001,6252001,,0,0
2001:470:b:c00::/54,6252001,6252001,,0,0
2001:470:b:1000::/52,6252001,6252001,,0,0
2001:470:b:2000::/51,6252001,6252001,,0,0
2001:470:b:4000::/50,6252001,6252001,,0,0
2001:470:b:8000::/49,6252001,6252001,,0,0
2001:470:c::/54,1814991,6252001,,0,0
2001:470:c:400::/57,1814991,6252001,,0,0
2001:470:c:480::/58,1814991,6252001,,0,0
2001:470:c:4c0::/62,1814991,6252001,,0,0
2001:470:c:4c4::/64,1814991,6252001,,0,0
2001:470:c:4c5::/64,6252001,6252001,,0,0
2001:470:c:4c6::/63,1814991,6252001,,0,0
2001:470:c:4c8::/61,1814991,6252001,,0,0
2001:470:c:4d0::/60,1814991,6252001,,0,0
2001:470:c:4e0::/59,1814991,6252001,,0,0
2001:470:c:500::/56,1814991,6252001,,0,0
2001:470:c:600::/55,1814991,6252001,,0,0
2001:470:c:800::/53,1814991,6252001,,0,0
2001:470:c:1000::/53,1814991,6252001,,0,0
2001:470:c:1800::/55,1814991,6252001,,0,0
2001:470:c:1a00::/56,1814991,6252001,,0,0
2001:470:c:1b00::/57,1814991,6252001,,0,0
2001:470:c:1b80::/60,1814991,6252001,,0,0
2001:470:c:1b90::/62,1814991,6252001,,0,0
2001:470:c:1b94::/63,1814991,6252001,,0,0
2001:470:c:1b96::/64,1814991,6252001,,0,0
2001:470:c:1b97::/127,1814991,6252001,,0,0
2001:470:c:1b97::2/128,6252001,6252001,,0,0
2001:470:c:1b97::3/128,1814991,6252001,,0,0
2001:470:c:1b97::4/126,1814991,6252001,,0,0
2001:470:c:1b97::8/125,1814991,6252001,,0,0
2001:470:c:1b97::10/124,1814991,6252001,,0,0
2001:470:c:1b97::20/123,1814991,6252001,,0,0
2001:470:c:1b97::40/122,1814991,6252001,,0,0
2001:470:c:1b97::80/121,1814991,6252001,,0,0
2001:470:c:1b97::100/120,1814991,6252001,,0,0
2001:470:c:1b97::200/119,1814991,6252001,,0,0
2001:470:c:1b97::400/118,1814991,6252001,,0,0
2001:470:c:1b97::800/117,1814991,6252001,,0,0
2001:470:c:1b97::1000/116,1814991,6252001,,0,0
2001:470:c:1b97::2000/115,1814991,6252001,,0,0
2001:470:c:1b97::4000/114,1814991,6252001,,0,0
2001:470:c:1b97::8000/113,1814991,6252001,,0,0
2001:470:c:1b97::1:0/112,1814991,6252001,,0,0
2001:470:c:1b97::2:0/111,1814991,6252001,,0,0
2001:470:c:1b97::4:0/110,1814991,6252001,,0,0
2001:470:c:1b97::8:0/109,1814991,6252001,,0,0
2001:470:c:1b97::10:0/108,1814991,6252001,,0,0
2001:470:c:1b97::20:0/107,1814991,6252001,,0,0
2001:470:c:1b97::40:0/106,1814991,6252001,,0,0
2001:470:c:1b97::80:0/105,1814991,6252001,,0,0
2001:470:c:1b97::100:0/104,1814991,6252001,,0,0
2001:470:c:1b97::200:0/103,1814991,6252001,,0,0
2001:470:c:1b97::400:0/102,1814991,6252001,,0,0
2001:470:c:1b97::800:0/101,1814991,6252001,,0,0
2001:470:c:1b97::1000:0/100,1814991,6252001,,0,0
2001:470:c:1b97::2000:0/99,1814991,6252001,,0,0
2001:470:c:1b97::4000:0/98,1814991,6252001,,0,0
2001:470:c:1b97::8000:0/97,1814991,6252001,,0,0
2001:470:c:1b97:0:1::/96,1814991,6252001,,0,0
2001:470:c:1b97:0:2::/95,1814991,6252001,,0,0
2001:470:c:1b97:0:4::/94,1814991,6252001,,0,0
2001:470:c:1b97:0:8::/93,1814991,6252001,,0,0
2001:470:c:1b97:0:10::/92,1814991,6252001,,0,0
2001:470:c:1b97:0:20::/91,1814991,6252001,,0,0
2001:470:c:1b97:0:40::/90,1814991,6252001,,0,0
2001:470:c:1b97:0:80::/89,1814991,6252001,,0,0
2001:470:c:1b97:0:100::/88,1814991,6252001,,0,0
2001:470:c:1b97:0:200::/87,1814991,6252001,,0,0
2001:470:c:1b97:0:400::/86,1814991,6252001,,0,0
2001:470:c:1b97:0:800::/85,1814991,6252001,,0,0
2001:470:c:1b97:0:1000::/84,1814991,6252001,,0,0
2001:470:c:1b97:0:2000::/83,1814991,6252001,,0,0
2001:470:c:1b97:0:4000::/82,1814991,6252001,,0,0
2001:470:c:1b97:0:8000::/81,1814991,6252001,,0,0
2001:470:c:1b97:1::/80,1814991,6252001,,0,0
2001:470:c:1b97:2::/79,1814991,6252001,,0,0
2001:470:c:1b97:4::/78,1814991,6252001,,0,0
2001:470:c:1b97:8::/77,1814991,6252001,,0,0
2001:470:c:1b97:10::/76,1814991,6252001,,0,0
2001:470:c:1b97:20::/75,1814991,6252001,,0,0
2001:470:c:1b97:40::/74,1814991,6252001,,0,0
2001:470:c:1b97:80::/73,1814991,6252001,,0,0
2001:470:c:1b97:100::/72,1814991,6252001,,0,0
2001:470:c:1b97:200::/71,1814991,6252001,,0,0
2001:470:c:1b97:400::/70,1814991,6252001,,0,0
2001:470:c:1b97:800::/69,1814991,6252001,,0,0
2001:470:c:1b97:1000::/68,1814991,6252001,,0,0
2001:470:c:1b97:2000::/67,1814991,6252001,,0,0
2001:470:c:1b97:4000::/66,1814991,6252001,,0,0
2001:470:c:1b97:8000::/65,1814991,6252001,,0,0
2001:470:c:1b98::/61,1814991,6252001,,0,0
2001:470:c:1ba0::/59,1814991,6252001,,0,0
2001:470:c:1bc0::/58,1814991,6252001,,0,0
2001:470:c:1c00::/54,1814991,6252001,,0,0
2001:470:c:2000::/51,1814991,6252001,,0,0
2001:470:c:4000::/50,1814991,6252001,,0,0
2001:470:c:8000::/49,1814991,6252001,,0,0
2001:470:d::/57,1814991,6252001,,0,0
2001:470:d:80::/58,1814991,6252001,,0,0
2001:470:d:c0::/59,1814991,6252001,,0,0
2001:470:d:e0::/60,1814991,6252001,,0,0
2001:470:d:f0::/64,6252001,6252001,,0,0
2001:470:d:f1::/64,1814991,6252001,,0,0
2001:470:d:f2::/63,1814991,6252001,,0,0
2001:470:d:f4::/62,1814991,6252001,,0,0
2001:470:d:f8::/61,1814991,6252001,,0,0
2001:470:d:100::/60,1814991,6252001,,0,0
2001:470:d:110::/61,1814991,6252001,,0,0
2001:470:d:118::/62,1814991,6252001,,0,0
2001:470:d:11c::/64,2186224,6252001,,0,0
2001:470:d:11d::/64,1814991,6252001,,0,0
2001:470:d:11e::/63,1814991,6252001,,0,0
2001:470:d:120::/59,1814991,6252001,,0,0
2001:470:d:140::/58,1814991,6252001,,0,0
2001:470:d:180::/57,1814991,6252001,,0,0
2001:470:d:200::/61,1814991,6252001,,0,0
2001:470:d:208::/63,1814991,6252001,,0,0
2001:470:d:20a::/64,1814991,6252001,,0,0
2001:470:d:20b::/64,6252001,6252001,,0,0
2001:470:d:20c::/62,1814991,6252001,,0,0
2001:470:d:210::/60,1814991,6252001,,0,0
2001:470:d:220::/59,1814991,6252001,,0,0
2001:470:d:240::/59,1814991,6252001,,0,0
2001:470:d:260::/61,1814991,6252001,,0,0
2001:470:d:268::/64,6252001,6252001,,0,0
2001:470:d:269::/64,1814991,6252001,,0,0
2001:470:d:26a::/63,1814991,6252001,,0,0
2001:470:d:26c::/62,1814991,6252001,,0,0
2001:470:d:270::/60,1814991,6252001,,0,0
2001:470:d:280::/59,1814991,6252001,,0,0
2001:470:d:2a0::/62,1814991,6252001,,0,0
2001:470:d:2a4::/64,6252001,6252001,,0,0
2001:470:d:2a5::/64,1814991,6252001,,0,0
2001:470:d:2a6::/63,1814991,6252001,,0,0
2001:470:d:2a8::/61,1814991,6252001,,0,0
2001:470:d:2b0::/60,1814991,6252001,,0,0
2001:470:d:2c0::/58,1814991,6252001,,0,0
2001:470:d:300::/57,1814991,6252001,,0,0
2001:470:d:380::/59,1814991,6252001,,0,0
2001:470:d:3a0::/60,1814991,6252001,,0,0
2001:470:d:3b0::/62,1814991,6252001,,0,0
2001:470:d:3b4::/63,1814991,6252001,,0,0
2001:470:d:3b6::/64,1814991,6252001,,0,0
2001:470:d:3b7::/64,6252001,6252001,,0,0
2001:470:d:3b8::/61,1814991,6252001,,0,0
2001:470:d:3c0::/58,1814991,6252001,,0,0
2001:470:d:400::/62,1814991,6252001,,0,0
2001:470:d:404::/63,1814991,6252001,,0,0
2001:470:d:406::/64,1814991,6252001,,0,0
2001:470:d:407::/64,6252001,6252001,,0,0
2001:470:d:408::/61,1814991,6252001,,0,0
2001:470:d:410::/60,1814991,6252001,,0,0
2001:470:d:420::/59,1814991,6252001,,0,0
2001:470:d:440::/60,1814991,6252001,,0,0
2001:470:d:450::/62,1814991,6252001,,0,0
2001:470:d:454::/64,1814991,6252001,,0,0
2001:470:d:455::/64,6252001,6252001,,0,0
2001:470:d:456::/63,1814991,6252001,,0,0
2001:470:d:458::/61,1814991,6252001,,0,0
2001:470:d:460::/59,1814991,6252001,,0,0
2001:470:d:480::/57,1814991,6252001,,0,0
2001:470:d:500::/56,1814991,6252001,,0,0
2001:470:d:600::/55,1814991,6252001,,0,0
2001:470:d:800::/57,1814991,6252001,,0,0
2001:470:d:880::/58,1814991,6252001,,0,0
2001:470:d:8c0::/59,1814991,6252001,,0,0
2001:470:d:8e0::/60,1814991,6252001,,0,0
2001:470:d:8f0::/61,1814991,6252001,,0,0
2001:470:d:8f8::/62,1814991,6252001,,0,0
2001:470:d:8fc::/64,6252001,6252001,,0,0
2001:470:d:8fd::/64,1814991,6252001,,0,0
2001:470:d:8fe::/63,1814991,6252001,,0,0
2001:470:d:900::/56,1814991,6252001,,0,0
2001:470:d:a00::/60,1814991,6252001,,0,0
2001:470:d:a10::/61,1814991,6252001,,0,0
2001:470:d:a18::/62,1814991,6252001,,0,0
2001:470:d:a1c::/64,6252001,6252001,,0,0
2001:470:d:a1d::/64,1814991,6252001,,0,0
2001:470:d:a1e::/63,1814991,6252001,,0,0
2001:470:d:a20::/59,1814991,6252001,,0,0
2001:470:d:a40::/58,1814991,6252001,,0,0
2001:470:d:a80::/57,1814991,6252001,,0,0
2001:470:d:b00::/57,1814991,6252001,,0,0
2001:470:d:b80::/58,1814991,6252001,,0,0
2001:470:d:bc0::/59,1814991,6252001,,0,0
2001:470:d:be0::/60,1814991,6252001,,0,0
2001:470:d:bf0::/61,1814991,6252001,,0,0
2001:470:d:bf8::/62,1814991,6252001,,0,0
2001:470:d:bfc::/64,6252001,6252001,,0,0
2001:470:d:bfd::/64,1814991,6252001,,0,0
2001:470:d:bfe::/63,1814991,6252001,,0,0
2001:470:d:c00::/54,1814991,6252001,,0,0
2001:470:d:1000::/56,1814991,6252001,,0,0
2001:470:d:1100::/59,1814991,6252001,,0,0
2001:470:d:1120::/60,1814991,6252001,,0,0
2001:470:d:1130::/64,6252001,6252001,,0,0
2001:470:d:1131::/64,1814991,6252001,,0,0
2001:470:d:1132::/63,1814991,6252001,,0,0
2001:470:d:1134::/62,1814991,6252001,,0,0
2001:470:d:1138::/61,1814991,6252001,,0,0
2001:470:d:1140::/58,1814991,6252001,,0,0
2001:470:d:1180::/57,1814991,6252001,,0,0
2001:470:d:1200::/55,1814991,6252001,,0,0
2001:470:d:1400::/54,1814991,6252001,,0,0
2001:470:d:1800::/55,1814991,6252001,,0,0
2001:470:d:1a00::/56,1814991,6252001,,0,0
2001:470:d:1b00::/57,1814991,6252001,,0,0
2001:470:d:1b80::/60,1814991,6252001,,0,0
2001:470:d:1b90::/62,1814991,6252001,,0,0
2001:470:d:1b94::/63,1814991,6252001,,0,0
2001:470:d:1b96::/64,1814991,6252001,,0,0
2001:470:d:1b97::/128,6252001,6252001,,0,0
2001:470:d:1b97::1/128,1814991,6252001,,0,0
2001:470:d:1b97::2/127,1814991,6252001,,0,0
2001:470:d:1b97::4/126,1814991,6252001,,0,0
2001:470:d:1b97::8/125,1814991,6252001,,0,0
2001:470:d:1b97::10/124,1814991,6252001,,0,0
2001:470:d:1b97::20/123,1814991,6252001,,0,0
2001:470:d:1b97::40/122,1814991,6252001,,0,0
2001:470:d:1b97::80/121,1814991,6252001,,0,0
2001:470:d:1b97::100/120,1814991,6252001,,0,0
2001:470:d:1b97::200/119,1814991,6252001,,0,0
2001:470:d:1b97::400/118,1814991,6252001,,0,0
2001:470:d:1b97::800/117,1814991,6252001,,0,0
2001:470:d:1b97::1000/116,1814991,6252001,,0,0
2001:470:d:1b97::2000/115,1814991,6252001,,0,0
2001:470:d:1b97::4000/114,1814991,6252001,,0,0
2001:470:d:1b97::8000/113,1814991,6252001,,0,0
2001:470:d:1b97::1:0/112,1814991,6252001,,0,0
2001:470:d:1b97::2:0/111,1814991,6252001,,0,0
2001:470:d:1b97::4:0/110,1814991,6252001,,0,0
2001:470:d:1b97::8:0/109,1814991,6252001,,0,0
2001:470:d:1b97::10:0/108,1814991,6252001,,0,0
2001:470:d:1b97::20:0/107,1814991,6252001,,0,0
2001:470:d:1b97::40:0/106,1814991,6252001,,0,0
2001:470:d:1b97::80:0/105,1814991,6252001,,0,0
2001:470:d:1b97::100:0/104,1814991,6252001,,0,0
2001:470:d:1b97::200:0/103,1814991,6252001,,0,0
2001:470:d:1b97::400:0/102,1814991,6252001,,0,0
2001:470:d:1b97::800:0/101,1814991,6252001,,0,0
2001:470:d:1b97::1000:0/100,1814991,6252001,,0,0
2001:470:d:1b97::2000:0/99,1814991,6252001,,0,0
2001:470:d:1b97::4000:0/98,1814991,6252001,,0,0
2001:470:d:1b97::8000:0/97,1814991,6252001,,0,0
2001:470:d:1b97:0:1::/96,1814991,6252001,,0,0
2001:470:d:1b97:0:2::/95,1814991,6252001,,0,0
2001:470:d:1b97:0:4::/94,1814991,6252001,,0,0
2001:470:d:1b97:0:8::/93,1814991,6252001,,0,0
2001:470:d:1b97:0:10::/92,1814991,6252001,,0,0
2001:470:d:1b97:0:20::/91,1814991,6252001,,0,0
2001:470:d:1b97:0:40::/90,1814991,6252001,,0,0
2001:470:d:1b97:0:80::/89,1814991,6252001,,0,0
2001:470:d:1b97:0:100::/88,1814991,6252001,,0,0
2001:470:d:1b97:0:200::/87,1814991,6252001,,0,0
2001:470:d:1b97:0:400::/86,1814991,6252001,,0,0
2001:470:d:1b97:0:800::/85,1814991,6252001,,0,0
